股票编号,上市年限,所属行业,所属概念板块
554,3,信息传输、软件和信息技术服务业,安防监控;股票质押;超涨;举牌;高送转概念;预减
555,20,制造业,融资融券标的;通用航空;二线龙头;融资融券;MSCI中盘;制造业单项冠军企业;标普道琼斯概念;含可转债;大盘蓝筹
556,2,制造业,预增;合资企业
557,8,制造业,5G
558,7,建筑业,超涨;特色小镇;珠三角;PPP;股票质押;装饰园林;基金重仓(季调);含可转债;券商重仓;可转债
559,11,制造业,高送转概念;超导;预增;大飞机;国家队;钒钛;小金属;地方国企;核电;并购阶段(需定增)
560,21,制造业,异质结电池(HIT);光伏;大豆;东北振兴
561,2,信息传输、软件和信息技术服务业,大数据;并购阶段(需定增);网络优化;网络规划建设;超涨
562,15,制造业,ST概念;光伏;异质结电池(HIT)
563,24,制造业,共享单车;知识产权;浦东新区;股票质押;含B股的A股;迪士尼
564,4,制造业,员工持股;超涨;出口型企业
565,3,制造业,消费电子产业;标普道琼斯概念;合资企业;无人驾驶;5G应用;超涨;吉利概念;特斯拉;基金重仓(季调);国产化创新;大盘蓝筹
566,1,制造业,小盘成长
567,17,信息传输、软件和信息技术服务业,融资融券;广电系;融资融券标的;国家队;三网融合;文化传媒概念;地方国企;预增;养老金概念
568,25,制造业,并购阶段(需定增);增持;举牌;医疗改革;医保概念
569,18,水利、环境和公共设施管理业,地方国企
570,6,制造业,基金重仓(季调);基金重仓;基金增仓;行业龙头;标普道琼斯概念;国产化创新;融资融券标的;融资融券;数字中国;光伏;一线龙头;白马股;大盘蓝筹;国家队;护城河;可转债
571,10,制造业,基金重仓(季调);智能穿戴;苹果;大盘蓝筹;融资融券;蓝宝石;5G应用;员工持股;消费电子产业;可转债;中小创蓝筹;智能手表;国家队;3D玻璃;融资融券标的;股票质押;标普道琼斯概念;参股宁德时代;车联网;制造业单项冠军企业;3D传感;小米产业链;虚拟现实;摄像头;手机产业
572,12,制造业,地方国企;可转债;国家队
573,2,制造业,超涨;显示屏制造装备;含可转债;手机屏幕;液晶显示;新型显示技术;OLED
574,8,制造业,轨道交通;预增;增持;标普道琼斯概念;股票质押;可转债;充电桩;预减
575,11,制造业,小金属;手机陶瓷外壳;核电;液态金属;新材料;标普道琼斯概念
576,25,信息传输、软件和信息技术服务业,三网融合;行业龙头;标普道琼斯概念;证金概念;核高基;融资融券标的;国家队;长三角;融资融券;智能电视;5G应用;上海自贸区;虚拟现实;文化传媒概念;广电系;移动互联网;MSCI大盘;地方国企;预增;护城河;一线龙头;上海国资改革;大消费
577,9,信息传输、软件和信息技术服务业,员工持股;电子商务;金融科技;高送转概念;小盘成长;智慧医疗;虚拟现实;超涨;国家队;跨境电商;移动支付
578,15,信息传输、软件和信息技术服务业,区块链;国产软硬件;科技龙头;互联网金融;智慧停车;融资融券;国家队;阿里巴巴概念;融资融券标的;标普道琼斯概念
579,19,房地产业,重组;员工持股;新型城镇化;网络游戏
580,3,制造业,超涨;预增
581,3,制造业,制造业单项冠军企业;国产软硬件;工业4.0;预增;标普道琼斯概念;地方国企
582,2,制造业,最小市值;医保概念;超涨
583,7,制造业,大消费;员工持股;磷酸铁锂电池;苹果;国产化创新;共享汽车;动力电池;消费电子代工;新能源汽车;融资融券;新能源整车;珠三角;锂矿;超涨;盐湖提锂;融资融券标的;5G应用;标普道琼斯概念;车联网;万得A50;MSCI大盘;行业龙头;电动物流车;锂电池;消费电子产业;手机产业;品牌龙头;含H股的A股
584,10,制造业,科技龙头;股票质押;手机外壳;MSCI中盘;员工持股;大盘蓝筹;标普道琼斯概念;超涨;无线充电;甲醇;基金重仓(季调);液晶显示;触摸屏;3D玻璃;智能手表;高送转概念;消费电子产业
585,21,农、林、牧、渔业,上海本地重组;增持;地方国企;小盘成长;浦东新区;预增;上海国资改革
586,1,制造业,次新股;预增
587,22,房地产业,上海国资改革;新型城镇化;养老产业;上海本地重组;融资融券;地方国企;上海自贸区;标普道琼斯概念;融资融券标的;浦东新区;国家队;预增
588,21,金融业,含可转债;标普道琼斯概念;可转债;融资融券标的;MSCI大盘;预增;融资融券
589,7,制造业,新材料;最小市值;风力发电;股票质押;固废处理;轨道交通;建筑节能;举牌;第三方支付;高铁
590,21,电力、热力、燃气及水生产和供应业,地方国企;东北振兴;重组;低价小市值
591,21,水利、环境和公共设施管理业,珠三角;并购阶段(需定增);证金概念;一线龙头;大盘蓝筹;社保重仓;标普道琼斯概念;基金重仓(季调);MSCI大盘;央企;国家队;特色小镇;护城河;融资融券标的;行业龙头;融资融券
592,2,信息传输、软件和信息技术服务业,预增;超涨;标普道琼斯概念;网络游戏
593,3,制造业,国家队;物联网
594,18,制造业,高校;稀土永磁;融资融券标的;国家队;融资融券;预减;特斯拉;标普道琼斯概念
595,3,信息传输、软件和信息技术服务业,数字货币;区块链;国产软硬件;金融科技;超涨
596,22,制造业,股权转让;煤电重组;央企;重组;小盘成长
597,25,制造业,并购阶段(需定增);O2O;黄金珠宝;电子商务;股票质押;员工持股;虚拟现实;互联网营销;标普道琼斯概念;文化传媒概念
598,1,制造业,次新股;超涨
599,25,房地产业,融资融券;小盘成长;标普道琼斯概念;融资融券标的;国资改革;央企;期货概念;国家队;大盘蓝筹
600,7,制造业,预增;工业4.0
601,26,房地产业,粤港澳大湾区;深圳市国资;粤港澳自贸区;地方国企;预减;广东省国资;举牌
602,9,制造业,通用航空;大飞机;新材料;国家队;高校
603,1,制造业,行业龙头;标普道琼斯概念;大消费
604,8,电力、热力、燃气及水生产和供应业,光伏;股权转让;环保概念;PM2.5
605,1,租赁和商务服务业,超涨;次新股
606,20,制造业,国家队;氟化工;陆股通50;地方国企;预减;大盘蓝筹;行业龙头;融资融券;半导体材料;融资融券标的;MSCI中盘;CDM项目
607,1,制造业,预增;近端次新股;次新股
608,8,制造业,蓝宝石;富士康概念;触摸屏;供应链金融
609,8,交通运输、仓储和邮政业,地方国企;股权转让;东北振兴
610,2,制造业,调味品;可转债;含可转债;高送转概念
611,2,制造业,超涨;珠三角;医疗器械;基金减持;血液制品
612,3,制造业,合资企业
613,1,制造业,机器人;含可转债;锂电池
614,18,水利、环境和公共设施管理业,国家队;融资融券标的;预减;央企;环保概念;融资融券;PM2.5
615,11,交通运输、仓储和邮政业,一带一路;地方国企;江苏省国资;中日韩自贸区;预增
616,10,制造业,生物疫苗;融资融券标的;标普道琼斯概念;大消费;血液制品;融资融券;长三角;国家队;流感;护城河
617,11,金融业,富时罗素概念;一线龙头;万得A50;MSCI大盘;标普道琼斯概念;融资融券;可转债;陆股通50;融资融券标的;证金概念;含可转债;大盘蓝筹;国家队;含H股的A股
618,10,制造业,小程序;员工持股;世界杯;腾讯概念;预减;网络彩票
619,15,制造业,融资融券标的;棉花;国家队;融资融券;地方国企
620,17,金融业,国家队;融资融券;地方国企;融资融券标的;MSCI大盘;预增
621,2,制造业,珠三角;行业龙头;标普道琼斯概念;中小创蓝筹
622,1,制造业,超涨;次新股;智能电网
623,1,制造业,次新股
624,8,制造业,国家队;制造业单项冠军企业;稀土永磁
625,22,制造业,融资融券;QFII重仓;出口型企业;预增;地方国企;制造业单项冠军企业;国家队;融资融券标的
626,9,制造业,超涨;预增;O2O;合资企业;虚拟现实;国家队
627,8,制造业,基金重仓(季调);科技龙头;消费电子产业;绿色节能照明;OLED;超涨;电路板;特斯拉;基站;射频及天线;无线充电;智能手表;重组;智能穿戴;标普道琼斯概念
628,4,制造业,融资融券标的;融资融券;股票质押;标普道琼斯概念;染料;国家队
629,17,制造业,标普道琼斯概念;地方国企;股票质押;品牌龙头;调味品;江苏省国资;预增
630,20,制造业,IDC;预减;央企;超涨;大数据;涉矿;标普道琼斯概念
631,3,制造业,锂电池;预减;含可转债;可转债;预增;半导体产业;半导体材料;电路板
632,8,水利、环境和公共设施管理业,基金重仓(季调);雄安新区;融资融券标的;中小创蓝筹;民营银行;一线龙头;QFII重仓;污水处理;白马股;MSCI中盘;融资融券;制造业单项冠军企业;环保概念;超涨;行业龙头
633,21,房地产业,MSCI中盘;金控平台;融资融券标的;预增;国家队;员工持股;标普道琼斯概念;大盘蓝筹;融资融券
634,16,采矿业,可燃冰;天津自贸区;融资融券标的;央企;标普道琼斯概念;国家队;证金概念;融资融券;预减;大央企重组;MSCI大盘
635,8,制造业,最小市值;员工持股;激光;机器人;工业4.0
636,26,批发和零售业,浦东新区;预减;最小市值;股票质押
637,19,制造业,中字头;小盘成长;地方国企;国家队;标普道琼斯概念
638,8,制造业,举牌;锂电池;手机产业;并购阶段(需定增);股票质押;手机外壳;行业龙头;标普道琼斯概念;3D玻璃;锂电隔膜;小米产业链;消费电子产业;出口型企业
639,19,综合,超涨;国家队;融资融券标的;融资融券;医保概念;抗癌;抗核辐射;标普道琼斯概念
640,9,制造业,重组;医疗器械;超涨;智慧医疗;智能电网;健康中国;生物疫苗;国家队
641,8,制造业,并购阶段(需定增);新能源汽车;无人驾驶
642,19,电力、热力、燃气及水生产和供应业,高送转概念;风力发电;雄安新区;预增;火电
643,6,信息传输、软件和信息技术服务业,文化传媒概念;建筑节能;互联网营销
644,8,制造业,员工持股;预增;标普道琼斯概念;跨境电商;黄金珠宝
645,8,制造业,健康中国;智慧医疗;养老产业;医疗改革;国家队;医疗器械;民营医院
646,8,制造业,预减;员工持股;智慧城市;安防监控;5G应用;合资企业;互联网营销;超涨;生物识别
647,3,制造业,股票质押;人民币贬值;高送转概念
648,3,制造业,国家队;制造业单项冠军企业
649,15,制造业,低价小市值;大盘蓝筹;重组
650,19,交通运输、仓储和邮政业,融资融券标的;固废处理;国家队;大盘蓝筹;期货概念;民营银行;地方国企;标普道琼斯概念;融资融券;医废处理
651,8,文化、体育和娱乐业,文化传媒概念;保底增持;IP流量变现;网络游戏;员工持股;标普道琼斯概念;二胎政策;影视;动漫
652,8,制造业,国家队;护城河;融资融券;电动物流车;基金重仓(季调);珠三角;新能源汽车;5G应用;机器人;行业龙头;工业4.0;白马股;基金减持;大盘蓝筹;轨道交通;融资融券标的
653,6,制造业,高送转概念;股票质押;5G;消费电子产业;超涨;可转债;国家队
654,1,制造业,次新股;含可转债
655,16,制造业,稀土;融资融券标的;国家队;钨矿;锂电池;手机产业;标普道琼斯概念;磷酸铁锂电池;地方国企;稀土永磁;MSCI中盘;融资融券;小金属;锂电正极
656,2,文化、体育和娱乐业,影视;地方国企;广东省国资;文化传媒概念
657,10,制造业,预减;新能源;国家队;高送转概念;员工持股;异质结电池(HIT);光伏;低价小市值
658,12,制造业,世界杯;人民币贬值;股权转让;跨境电商
659,6,制造业,股票质押;最小市值;国家队
660,11,制造业,预增;股票质押;员工持股;智慧农业
661,21,制造业,新能源整车;融资融券;融资融券标的;大央企重组;消费电子产业;中国一汽概念;预减;标普道琼斯概念;国家队;长吉图板块;央企
662,1,制造业,预增;重组;可转债;超涨
663,2,信息传输、软件和信息技术服务业,智慧医疗;超涨
664,25,批发和零售业,干细胞;并购阶段(需定增);长三角;员工持股;标普道琼斯概念;基因检测;健康中国;养老产业;O2O;抗癌
665,12,制造业,国家队;稀土永磁;员工持股;光伏;融资融券标的;融资融券;出口型企业;苹果;大盘蓝筹;制造业单项冠军企业;标普道琼斯概念;无线充电;磷酸铁锂电池;锂电池;超涨
666,1,科学研究和技术服务业,超涨;次新股;5G
667,24,制造业,融资融券标的;合资企业;国家队;基金重仓(季调);水泥;大盘蓝筹;标普道琼斯概念;含B股的A股;小盘成长;MSCI中盘;融资融券
668,2,建筑业,装饰园林;预减
669,22,水利、环境和公共设施管理业,股票质押;地方国企;预减;员工持股
670,8,制造业,大盘蓝筹;融资融券;标普道琼斯概念;行业龙头;建筑节能;MSCI中盘;国家队;中小创蓝筹;二线龙头;融资融券标的
671,14,制造业,股票质押;超涨;充电桩
672,3,制造业,体外诊断;可转债
673,11,制造业,员工持股;金融科技;国产软硬件;数字货币;区块链;国家队;智能IC卡
674,11,制造业,*ST;预增;含H股的A股;高送转概念;ST概念;成渝特区;标普道琼斯概念;CDM项目;国家队
675,8,文化、体育和娱乐业,国家队;融资融券;护城河;地方国企;融资融券标的;IP流量变现;标普道琼斯概念;MSCI大盘;文化传媒概念
676,10,制造业,抗核辐射;标普道琼斯概念;国企混改;国家队;央企
677,8,制造业,融资融券标的;举牌;智能手表;股票质押;超涨;手机产业;消费电子产业;4G;小米产业链;融资融券;消费电子代工
678,16,农、林、牧、渔业,融资融券标的;超涨;融资融券;甲醇;大豆;反关税;国家队;标普道琼斯概念;MSCI中盘;土地流转;东北振兴;大盘蓝筹
679,2,制造业,预增
680,21,制造业,并购阶段(需定增);小金属;无人机
681,7,制造业,中小创蓝筹;预增;小盘成长;预减;标普道琼斯概念;电路板;覆铜板
682,1,制造业,
683,26,制造业,融资融券标的;异质结电池(HIT);制造业单项冠军企业;融资融券;光伏;标普道琼斯概念;含B股的A股;举牌;预增;玻璃;国家队
684,3,信息传输、软件和信息技术服务业,国家队;股票质押;网络游戏
685,20,文化、体育和娱乐业,股票质押;并购阶段(需定增);文化传媒概念;体育;影视
686,22,综合,互联网金融;职业教育;举牌;新型城镇化
687,15,采矿业,国企混改;央企;国资改革;融资融券标的;MSCI大盘;国家队;大央企重组;标普道琼斯概念;基金重仓(季调);融资融券;黄金珠宝;人民币贬值
688,24,建筑业,一线龙头;轨道交通;MSCI大盘;上海国资改革;地方国企;国企混改;上海本地重组;国家队;PPP;融资融券;预增;融资融券标的;标普道琼斯概念
689,7,制造业,融资融券;生物疫苗;国家队;干细胞;基因检测;融资融券标的;医疗器械
690,28,水利、环境和公共设施管理业,特斯拉;PPP;环保概念;股票质押;低价小市值;预减;固废处理
691,1,制造业,预减;近端次新股;次新股
692,14,水利、环境和公共设施管理业,举牌;国家队
693,25,制造业,无人驾驶;电动物流车;氢能;地方国企;新能源整车;预减;融资融券;新能源汽车;融资融券标的
694,2,制造业,最小市值
695,17,房地产业,天津自贸区;新型城镇化;京津冀一体化;地方国企;国企混改;天津市国资
696,18,房地产业,地方国企;*ST;超涨;ST概念;国家队;天津自贸区;低价小市值;天津市国资
697,10,制造业,腾讯概念;员工持股;预增;融资融券标的;融资融券;网络彩票;世界杯
698,7,制造业,TWS耳机;动力电池;无线充电;锂电池;苹果;基金增仓;小米产业链;虚拟现实;基金重仓(季调);5G应用;超涨;股票质押;大盘蓝筹;消费电子产业;国家队;珠三角;手机电池
699,20,交通运输、仓储和邮政业,港珠澳大桥;粤港澳大湾区;广东省国资;二线龙头;标普道琼斯概念;地方国企;含B股的A股;券商重仓;珠三角;白马股;大盘蓝筹
700,1,制造业,近端次新股;打板;次新股
701,18,制造业,ST;文化传媒概念;举牌;重组;借壳上市;ST概念
702,21,金融业,融资融券;标普道琼斯概念;MSCI大盘;地方国企;融资融券标的;国家队
703,17,采矿业,大盘蓝筹;地方国企;融资融券标的;标普道琼斯概念;融资融券;陆股通50
704,6,批发和零售业,超涨;地方国企
705,24,信息传输、软件和信息技术服务业,科技龙头;央企;浦东新区;虚拟现实;可转债;车联网;预增;IDC;超涨;5G应用;网络安全;国产软硬件;大数据;含B股的A股;云计算;护城河
706,1,制造业,次新股
707,3,批发和零售业,体育
708,3,制造业,高送转概念;国家队
709,25,制造业,医保概念;医疗改革;融资融券标的;肺炎概念;护城河;地方国企;标普道琼斯概念;融资融券;预减;国家队;东北振兴
710,11,金融业,基金重仓(季调);预增;一线龙头;MSCI大盘;社保重仓;标普道琼斯概念;富时罗素概念;含H股的A股;大盘蓝筹;护城河;国家队;行业龙头;证金概念;万得A50;陆股通50;系统重要性金融机构;白马股;融资融券标的;融资融券
711,11,制造业,国家队;高铁;股权转让;大数据;低价小市值
712,11,制造业,大飞机;新能源;融资融券标的;核电;高送转概念;可转债;标普道琼斯概念;融资融券;预增;保底增持;股票质押
713,3,制造业,并购阶段(需定增)
714,25,房地产业,科技园区;地方国企;新型城镇化;小盘成长;浦东新区
715,7,制造业,玻璃;高送转概念
716,12,制造业,炭黑;标普道琼斯概念;小盘成长;国家队;地方国企;制造业单项冠军企业
717,2,制造业,预增;合资企业
718,14,制造业,含可转债;OLED;珠三角;融资融券标的;蓝宝石;制造业单项冠军企业;基金增仓;行业龙头;机器人;基金重仓(季调);融资融券;一线龙头;护城河;液晶显示;预减;苹果;激光;3D打印;国产化创新;科技龙头;消费电子产业;QFII重仓;显示屏制造装备;国家队;电路板;数字中国;标普道琼斯概念;可转债;新型显示技术
719,19,制造业,并购阶段(需定增);融资融券标的;大消费;员工持股;融资融券;超涨
720,20,电力、热力、燃气及水生产和供应业,债转股;地方国企;风力发电
721,1,制造业,超涨;出口型企业;次新股;预增
722,22,房地产业,融资融券;预减;锂矿;融资融券标的;盐湖提锂;西藏振兴;涉矿;国家队;地方国企
723,10,制造业,预增;机床;央企;国家队
724,1,制造业,超涨;打板;次新股;肺炎概念;基因检测;生物疫苗;合资企业
725,6,制造业,股票质押;超涨;军民融合
726,24,批发和零售业,标普道琼斯概念;预增;O2O;地方国企;新零售
727,24,制造业,融资融券标的;融资融券;成渝特区;地方国企
728,2,制造业,新能源汽车;新能源整车;预减;国家队;可转债;标普道琼斯概念;含可转债
729,22,建筑业,参股金融;重组;科技园区;成渝特区;地方国企
730,19,房地产业,重组;东北振兴;超涨;中朝经济特区;长吉图板块
731,9,制造业,光伏;标普道琼斯概念;国家队
732,11,制造业,手机产业;增持;绿色节能照明;蓝宝石
733,12,批发和零售业,融资融券;地方国企;标普道琼斯概念;动力电池;预增;江苏省国资;小盘成长;中小创蓝筹;人民币贬值;锂矿;大盘蓝筹;锂电池;锂电电解液;宁德时代产业链;手机产业;手机电池;融资融券标的
734,8,制造业,融资融券;超涨;轨道交通;融资融券标的;标普道琼斯概念;增持;机器人;预增
735,20,租赁和商务服务业,参股消费金融;标普道琼斯概念;第三方支付;电子商务;含可转债;预增;超涨;珠三角;O2O;可转债
736,12,制造业,超涨;绿色节能照明;充电桩;高送转概念;无人机;并购阶段(需定增)
737,15,信息传输、软件和信息技术服务业,一线龙头;央企;智能电网;护城河;融资融券标的;5G应用;重组;半导体分立器件;基金重仓(季调);大央企重组;证金概念;行业龙头;充电桩;长三角;标普道琼斯概念;融资融券;国家队;基金增仓;大盘蓝筹;轨道交通;能源互联网;特高压
738,9,制造业,安防监控;轨道交通;举牌;高铁;预增;超涨
739,8,制造业,股票质押;国家队;智能电网;预减;雄安新区
740,11,制造业,员工持股;预增;国家队;制造业单项冠军企业;建筑节能;新材料
741,3,建筑业,雄安新区;高送转概念;装饰园林
742,1,制造业,次新股;消费电子产业
743,21,农、林、牧、渔业,预减;三沙;土地流转;标普道琼斯概念;海南自贸港;职业教育;国家队;保底增持;猪产业
744,18,文化、体育和娱乐业,文化传媒概念;阿里巴巴概念;融资融券;地方国企;重组;标普道琼斯概念;国家队;智能电视;三网融合;融资融券标的;广电系;CDR概念
745,18,制造业,并购阶段(需定增);央企;调味品;重组;预增
746,10,制造业,融资融券;含H股的A股;含可转债;地方国企;融资融券标的;国家队;上海国资改革;轨道交通;证金概念;可转债;行业龙头;标普道琼斯概念;高端装备制造;长三角;护城河;核电
747,1,建筑业,近端次新股;次新股;装饰园林;超涨
748,2,制造业,超涨;预增
749,25,制造业,国家队;国企混改;基金重仓(季调);证金概念;医保概念;大消费;预增;行业龙头;融资融券标的;品牌龙头;融资融券;标普道琼斯概念;一线龙头;护城河;医疗改革;白马股
750,7,制造业,国家队;小盘成长;合同能源管理;固废处理
751,26,房地产业,基金重仓(季调);PPP;蚂蚁金服;一线龙头;体育;融资融券标的;融资融券;护城河;特色小镇;国家队;行业龙头;大盘蓝筹;标普道琼斯概念
752,19,电力、热力、燃气及水生产和供应业,LNG;独角兽概念;地方国企;触摸屏;出口型企业;富士康概念;3D玻璃;光伏
753,1,信息传输、软件和信息技术服务业,大数据;超涨;次新股
754,7,建筑业,污水处理;PPP;环保概念
755,6,文化、体育和娱乐业,二胎政策;IP流量变现;标普道琼斯概念;预增;高送转概念;网络游戏;迪士尼;动漫;文化传媒概念
756,11,制造业,标普道琼斯概念;央企;证金概念;行业龙头;大央企重组;融资融券标的;国家队;融资融券;含H股的A股;中字头
757,7,制造业,股票质押;增持;文化传媒概念;员工持股;氢能
758,6,制造业,军民融合;3D打印
759,7,制造业,预减;集成电路
760,15,制造业,医疗改革;超级细菌;医保概念;超涨;地方国企;江苏省国资;肺炎概念
761,1,制造业,近端次新股;军民融合;次新股;通用航空
762,1,制造业,行业龙头;中小创蓝筹;珠三角;大消费;基金重仓(季调);次新股
763,25,制造业,生物疫苗;干细胞;超涨;并购阶段(需定增);超级细菌;举牌;装饰园林;禽流感;肺炎概念;医保概念
764,1,制造业,预减;次新股;小盘成长;合资企业;制造业单项冠军企业
765,6,农、林、牧、渔业,生物育种;股票质押;并购阶段(需定增);文化传媒概念
766,21,制造业,标普道琼斯概念;白酒
767,7,制造业,标普道琼斯概念;锂电池;机器人;珠三角;宁德时代产业链;行业龙头;工业4.0
768,7,制造业,员工持股;跨境电商;预减;民营银行;二胎政策;化妆品
769,1,制造业,次新股;小盘成长;装配式建筑
770,16,制造业,超涨;基金减持;基金重仓(季调);小盘成长;地方国企
771,7,制造业,含可转债;国产化创新;小盘成长
772,22,批发和零售业,行业龙头;超涨;融资融券;融资融券标的;创新药;国产化创新;地方国企;参股金融;页岩气;标普道琼斯概念
773,2,制造业,超涨;充电桩
774,9,建筑业,融资融券;新疆振兴;国家队;一带一路;标普道琼斯概念;融资融券标的;地方国企
775,2,制造业,预增;安防监控;高送转概念
776,7,制造业,国家队;反关税;股票质押;大数据
777,18,金融业,并购阶段(需定增);重组;标普道琼斯概念;地方国企;金控平台;广东省国资;独角兽概念
778,20,电力、热力、燃气及水生产和供应业,重组;地方国企;国家队;融资融券标的;融资融券;标普道琼斯概念
779,9,制造业,融资融券标的;宽带提速;标普道琼斯概念;5G;珠三角;IPV6;超涨;基站;预增;光通信;增持;4G;国家队;融资融券;小基站
780,6,制造业,基金重仓(季调);并购阶段(需定增);医疗改革;医疗器械;健康中国;体外诊断;重组
781,1,科学研究和技术服务业,预增;地方国企;标普道琼斯概念;次新股
782,24,批发和零售业,重组;舟山新区
783,8,金融业,基金重仓(季调);沪伦通;融资融券;大盘蓝筹;陆股通50;万得A50;可转债;含可转债;富时罗素概念;一线龙头;预增;含H股的A股;国家队;证金概念;融资融券标的;标普道琼斯概念;MSCI大盘
784,3,制造业,雄安新区
785,6,信息传输、软件和信息技术服务业,国产软硬件;标普道琼斯概念;互联网金融;移动支付;征信;云计算;金融科技;大数据
786,18,电力、热力、燃气及水生产和供应业,水利水电建设;创投;海绵城市;小盘成长
787,8,批发和零售业,虚拟现实;5G应用;股票质押;移动互联网;预减;重组;动漫;智能电视;超涨
788,21,批发和零售业,融资融券;融资融券标的;移动转售;虚拟现实;网络彩票;移动互联网;独角兽概念;百度概念;标普道琼斯概念;移动互联网入口;股权转让;国家队;苹果;IP流量变现
789,22,住宿和餐饮业,含B股的A股;长三角;大消费;上海国资改革;超涨;国家队;MSCI中盘;标普道琼斯概念;地方国企;行业龙头;二线龙头;迪士尼;浦东新区;预增
790,17,农、林、牧、渔业,股权转让;重组;污水处理;反关税
791,21,制造业,超涨;新材料;光纤;含可转债;国家队;超导;预减;股票质押;员工持股;标普道琼斯概念
792,1,信息传输、软件和信息技术服务业,5G;中朝经济特区;高校;超涨;网络规划建设
793,18,制造业,标普道琼斯概念;融资融券;融资融券标的;小盘成长;央企;预减;京津冀一体化;国家队
794,8,制造业,地方国企;标普道琼斯概念;超涨;员工持股;股票质押;涉矿;预增
795,25,房地产业,增持;地方国企;新型城镇化;期货概念
796,4,制造业,反关税;预增;标普道琼斯概念;猪产业
797,25,批发和零售业,MSCI中盘;医疗改革;白马股;央企;国资改革;标普道琼斯概念;二线龙头;医保概念;融资融券标的;护城河;珠三角;基金重仓(季调);融资融券;含B股的A股;国家队
798,1,信息传输、软件和信息技术服务业,标普道琼斯概念;5G应用;上海国资改革;地方国企;IDC;百度概念;大数据;超涨
799,22,采矿业,预减;标普道琼斯概念;小盘成长;东北振兴;地方国企
800,3,制造业,MSCI中盘;基金重仓(季调);国家队;大消费;行业龙头;长三角;二线龙头;K-12教育;标普道琼斯概念;护城河
801,1,制造业,
802,16,房地产业,融资融券标的;机器人;石墨烯;融资融券;新型城镇化;标普道琼斯概念;国家队;股票质押;并购阶段(需定增)
803,1,建筑业,地方国企;预增;含可转债
804,4,制造业,白马股;国家队;猪产业
805,8,制造业,充电桩;新能源汽车;电动物流车;预增;并购阶段(需定增);国家队
806,7,制造业,超涨;员工持股;预增;金融改革
807,22,制造业,东北振兴;含可转债;券商重仓;可转债;护城河;融资融券标的;MSCI中盘;参股金融;医疗改革;标普道琼斯概念;预增;举牌;融资融券;国家队
808,1,交通运输、仓储和邮政业,预减
809,1,制造业,新材料;次新股
810,11,制造业,国家队
811,14,批发和零售业,化妆品;国家队;民营医院;预增;医保概念;融资融券标的;融资融券;标普道琼斯概念;医疗改革
812,19,批发和零售业,*ST;地方国企;ST概念
813,3,制造业,举牌
814,7,信息传输、软件和信息技术服务业,虚拟现实;国家队;在线教育;三网融合
815,4,制造业,超涨;航母;股票质押;高端装备制造
816,18,制造业,燃料电池;钨矿;标普道琼斯概念;融资融券标的;国家队;蓝宝石;磷酸铁锂电池;稀土永磁;央企;3D打印;液态金属;氢能;核电;新材料;融资融券
817,10,制造业,高送转概念;标普道琼斯概念;可转债;磷酸铁锂电池
818,20,房地产业,行业龙头;预增;长三角;举牌;国家队;大盘蓝筹;MSCI大盘;融资融券标的;标普道琼斯概念;融资融券;陆股通50
819,9,信息传输、软件和信息技术服务业,网络游戏;重组;超涨
820,1,制造业,次新股;半导体产业;半导体材料;液晶显示;超涨
821,22,采矿业,大盘蓝筹;预减;ST概念;钛白粉;央企;钒钛;*ST;国家队
822,2,信息传输、软件和信息技术服务业,超涨;智慧医疗
823,2,文化、体育和娱乐业,含H股的A股;地方国企;标普道琼斯概念;文化传媒概念
824,2,金融业,社保重仓;标普道琼斯概念;融资融券标的;可转债;大盘蓝筹;融资融券;二线龙头
825,2,制造业,
826,8,信息传输、软件和信息技术服务业,云计算;国产软硬件;基金重仓(季调);金融科技;融资融券;智慧城市;电子政务;网络可视化;融资融券标的;核高基;并购阶段(需定增);含可转债;十大军工集团;标普道琼斯概念;养老金概念;超涨;5G应用;中小创蓝筹;央企
827,4,制造业,标普道琼斯概念
828,19,制造业,大盘蓝筹;融资融券;标普道琼斯概念;融资融券标的;智慧农业
829,8,农、林、牧、渔业,反关税;员工持股;股票质押;人民币贬值;生物育种
830,21,住宿和餐饮业,一带一路;丝绸之路;职业教育;地方国企
831,8,制造业,地方国企;重组;江苏省国资;标普道琼斯概念
832,10,制造业,智慧农业;员工持股;标普道琼斯概念;增持;虫害防治
833,4,水利、环境和公共设施管理业,可转债;地方国企;东北振兴;中朝经济特区
834,18,房地产业,天津市国资;预增;雄安新区;天津自贸区;地方国企
835,2,制造业,
836,1,制造业,次新股;近端次新股;超涨
837,4,科学研究和技术服务业,征信;预增;股票质押;工业4.0
838,11,制造业,国家队;地方国企;国产软硬件;智能IC卡;融资融券;MSCI中盘;科技龙头;融资融券标的;员工持股;数字中国;区块链;制造业单项冠军企业;金融科技;护城河;广东省国资;珠三角;标普道琼斯概念;数字货币
839,12,制造业,预增;债转股;央企;重组;稀土永磁
840,8,制造业,股票质押;环保概念;水利水电建设;PM2.5;雄安新区
841,7,金融业,MSCI大盘;基金重仓(季调);标普道琼斯概念;融资融券;预增;融资融券标的;高校;证金概念;国家队
842,3,房地产业,大盘蓝筹;粤港澳大湾区;MSCI大盘;富时罗素概念;万得A50;珠三角;融资融券标的;预减;融资融券;行业龙头;一线龙头;标普道琼斯概念;护城河;粤港澳自贸区;基金重仓(季调)
